#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
1,ACEH,2,ACEH SELATAN,55551,42182,97733
1,ACEH,269,ACEH TENGGARA,73999,40413,114412
1,ACEH,4989,ACEH BARAT DAYA,28334,26534,54868
1,ACEH,4086,SIMEULUE,11889,29538,41427
1,ACEH,4362,BIREUEN,95777,60087,155864
1,ACEH,4233,ACEH SINGKIL,27281,19230,46511
1,ACEH,2452,PIDIE,72241,93308,165549
1,ACEH,1207,ACEH TENGAH,40522,57882,98404
1,ACEH,3205,ACEH UTARA,125359,82486,207845
1,ACEH,1824,ACEH BESAR,91130,72502,163632
1,ACEH,671,ACEH TIMUR,64601,63548,128149
1,ACEH,1492,ACEH BARAT,47335,40062,87397
1,ACEH,5286,ACEH JAYA,22189,17945,40134
1,ACEH,6591,KOTA LANGSA,42693,18340,61033
1,ACEH,6497,KOTA SABANG,7301,5537,12838
1,ACEH,5138,GAYO LUES,0,0,0
1,ACEH,6397,KOTA BANDA ACEH,45823,36003,81826
1,ACEH,6648,KOTA SUBULUSSALAM,20172,11276,31448
1,ACEH,5463,NAGAN RAYA,35565,38848,74413
1,ACEH,5920,BENER MERIAH,0,0,0
1,ACEH,5694,ACEH TAMIANG,74269,41143,115412
1,ACEH,6166,PIDIE JAYA,24082,30338,54420
1,ACEH,6518,KOTA LHOKSEUMAWE,34616,19296,53912
6728,SUMATERA UTARA,8688,DELI SERDANG,0,0,0
6728,SUMATERA UTARA,7960,NIAS,6661,55301,61962
6728,SUMATERA UTARA,8408,KARO,25462,143746,169208
6728,SUMATERA UTARA,7240,TAPANULI TENGAH,37093,95001,132094
6728,SUMATERA UTARA,9835,DAIRI,22125,109732,131857
6728,SUMATERA UTARA,9497,ASAHAN,154937,177331,332268
6728,SUMATERA UTARA,9114,SIMALUNGUN,144362,276389,420751
6728,SUMATERA UTARA,11083,HUMBANG HASUNDUTAN,8284,77704,85988
6728,SUMATERA UTARA,8094,LANGKAT,247482,228622,476104
6728,SUMATERA UTARA,11247,SAMOSIR,3346,57030,60376
6728,SUMATERA UTARA,12208,PADANG LAWAS UTARA,82604,35786,118390
6728,SUMATERA UTARA,7697,TAPANULI SELATAN,82611,50633,133244
6728,SUMATERA UTARA,9727,LABUHANBATU,106571,91901,198472
6728,SUMATERA UTARA,11635,BATU BARA,81404,93483,174887
6728,SUMATERA UTARA,7438,TAPANULI UTARA,11615,120744,132359
6728,SUMATERA UTARA,6888,NIAS UTARA,7283,45305,52588
6728,SUMATERA UTARA,11978,KOTA SIBOLGA,14682,22573,37255
6728,SUMATERA UTARA,11022,PAKPAK BHARAT,6681,12075,18756
6728,SUMATERA UTARA,10646,NIAS SELATAN,26064,171401,197465
6728,SUMATERA UTARA,12038,KOTA BINJAI,77888,45463,123351
6728,SUMATERA UTARA,10020,TOBA SAMOSIR,8154,79525,87679
6728,SUMATERA UTARA,6729,LABUHANBATU SELATAN,66898,73580,140478
6728,SUMATERA UTARA,10227,MANDAILING NATAL,150048,47046,197094
6728,SUMATERA UTARA,11374,SERDANG BEDAGAI,150267,149761,300028
6728,SUMATERA UTARA,12000,KOTA TANJUNG BALAI,34519,28611,63130
6728,SUMATERA UTARA,7013,NIAS BARAT,6152,32202,38354
6728,SUMATERA UTARA,12081,KOTA TEBING TINGGI,41592,35498,77090
6728,SUMATERA UTARA,12606,PADANG LAWAS,76763,28789,105552
6728,SUMATERA UTARA,12122,KOTA PADANG SIDIMPUAN,71847,23423,95270
6728,SUMATERA UTARA,7132,KOTA GUNUNGSITOLI,9585,48491,58076
6728,SUMATERA UTARA,11743,KOTA MEDAN,0,0,0
6728,SUMATERA UTARA,11916,KOTA PEMATANGSIANTAR,40124,83287,123411
6728,SUMATERA UTARA,6789,LABUHANBATU UTARA,73485,94247,167732
12920,SUMATERA BARAT,12921,PESISIR SELATAN,147150,58374,205524
12920,SUMATERA BARAT,13099,SIJUNJUNG,74503,24296,98799
12920,SUMATERA BARAT,13163,TANAH DATAR,127433,40187,167620
12920,SUMATERA BARAT,13010,SOLOK,141142,23831,164973
12920,SUMATERA BARAT,13509,PASAMAN,94243,26644,120887
12920,SUMATERA BARAT,13554,KEPULAUAN MENTAWAI,9071,31440,40511
12920,SUMATERA BARAT,13712,KOTA PADANG,304850,83698,388548
12920,SUMATERA BARAT,13886,KOTA PADANG PANJANG,18947,4402,23349
12920,SUMATERA BARAT,13905,KOTA BUKITTINGGI,40392,9434,49826
12920,SUMATERA BARAT,13416,LIMA PULUH KOTA,137083,34699,171782
12920,SUMATERA BARAT,13608,DHARMASRAYA,70141,36737,106878
12920,SUMATERA BARAT,13317,AGAM,175914,38392,214306
12920,SUMATERA BARAT,13933,KOTA PAYAKUMBUH,47131,11750,58881
12920,SUMATERA BARAT,13253,PADANG PARIAMAN,140938,37355,178293
12920,SUMATERA BARAT,14010,KOTA PARIAMAN,33979,6670,40649
12920,SUMATERA BARAT,13681,PASAMAN BARAT,129400,42560,171960
12920,SUMATERA BARAT,13828,KOTA SOLOK,25649,5070,30719
12920,SUMATERA BARAT,13634,SOLOK SELATAN,56065,17103,73168
12920,SUMATERA BARAT,13844,KOTA SAWAHLUNTO,23474,6666,30140
14086,RIAU,14741,INDRAGIRI HILIR,113645,168634,282279
14086,RIAU,14955,PELALAWAN,66943,85496,152439
14086,RIAU,15087,ROKAN HULU,119956,126012,245968
14086,RIAU,14414,INDRAGIRI HULU,80054,97460,177514
14086,RIAU,15553,KUANTAN SINGINGI,74594,76259,150853
14086,RIAU,14630,BENGKALIS,116661,140869,257530
14086,RIAU,14166,KAMPAR,224680,138129,362809
14086,RIAU,15846,KOTA DUMAI,57511,65484,122995
14086,RIAU,15775,KOTA PEKANBARU,261593,129179,390772
14086,RIAU,15254,ROKAN HILIR,114216,169637,283853
14086,RIAU,15412,SIAK,89874,90369,180243
14086,RIAU,14087,KEPULAUAN MERANTI,29611,55289,84900
15885,JAMBI,16183,MERANGIN,98973,95407,194380
15885,JAMBI,16946,TANJUNG JABUNG TIMUR,44919,71431,116350
15885,JAMBI,15886,KOTA SUNGAI PENUH,36381,10555,46936
15885,JAMBI,16420,SAROLANGUN,68598,76443,145041
15885,JAMBI,17051,BUNGO,91122,87530,178652
15885,JAMBI,17333,KOTA JAMBI,155560,142969,298529
15885,JAMBI,15961,KERINCI,104649,38680,143329
15885,JAMBI,16576,BATANGHARI,59741,72999,132740
15885,JAMBI,16862,TANJUNG JABUNG BARAT,63806,79090,142896
15885,JAMBI,17215,TEBO,66172,108551,174723
15885,JAMBI,16699,MUARO JAMBI,81395,114132,195527
17404,SUMATERA SELATAN,18643,MUSI RAWAS,124598,193367,317965
17404,SUMATERA SELATAN,18244,LAHAT,124162,83865,208027
17404,SUMATERA SELATAN,17405,OGAN KOMERING ULU,108647,64472,173119
17404,SUMATERA SELATAN,20345,EMPAT LAWANG,60332,48436,108768
17404,SUMATERA SELATAN,17895,MUARA ENIM,176547,217125,393672
17404,SUMATERA SELATAN,20677,KOTA LUBUKLINGGAU,55804,49873,105677
17404,SUMATERA SELATAN,17570,OGAN KOMERING ILIR,230650,191662,422312
17404,SUMATERA SELATAN,20512,KOTA PALEMBANG,410473,372168,782641
17404,SUMATERA SELATAN,18942,MUSI BANYUASIN,125556,176549,302105
17404,SUMATERA SELATAN,20636,KOTA PAGAR ALAM,0,0,0
17404,SUMATERA SELATAN,20087,OGAN ILIR,107659,96506,204165
17404,SUMATERA SELATAN,19172,BANYUASIN,189938,224109,414047
17404,SUMATERA SELATAN,19808,OGAN KOMERING ULU SELATAN,110146,77139,187285
17404,SUMATERA SELATAN,20758,KOTA PRABUMULIH,0,0,0
17404,SUMATERA SELATAN,19492,OGAN KOMERING ULU TIMUR,225364,152303,377667
20802,BENGKULU,21265,BENGKULU UTARA,55425,95334,150759
20802,BENGKULU,22052,LEBONG,22935,29369,52304
20802,BENGKULU,21093,REJANG LEBONG,73479,59063,132542
20802,BENGKULU,21885,MUKOMUKO,35039,49631,84670
20802,BENGKULU,22252,KOTA BENGKULU,81132,83135,164267
20802,BENGKULU,21492,KAUR,26245,36456,62701
20802,BENGKULU,20923,BENGKULU SELATAN,31154,44964,76118
20802,BENGKULU,21702,SELUMA,39887,59531,99418
20802,BENGKULU,20803,BENGKULU TENGAH,26040,33531,59571
20802,BENGKULU,22135,KEPAHIANG,41837,32655,74492
22328,LAMPUNG,22875,LAMPUNG TENGAH,306752,366977,673729
22328,LAMPUNG,23737,TULANG BAWANG,95164,112553,207717
22328,LAMPUNG,22522,TULANG BAWANG BARAT,69047,83631,152678
22328,LAMPUNG,23460,LAMPUNG BARAT,97555,140261,237816
22328,LAMPUNG,24484,WAY KANAN,107739,134930,242669
22328,LAMPUNG,22439,MESUJI,45124,62581,107705
22328,LAMPUNG,22329,PRINGSEWU,102677,109675,212352
22328,LAMPUNG,24202,LAMPUNG TIMUR,230528,311267,541795
22328,LAMPUNG,23903,TANGGAMUS,163155,145675,308830
22328,LAMPUNG,23189,LAMPUNG UTARA,185801,138884,324685
22328,LAMPUNG,22605,LAMPUNG SELATAN,231365,287821,519186
22328,LAMPUNG,24850,PESAWARAN,113560,123315,236875
22328,LAMPUNG,24822,KOTA METRO,41932,41842,83774
22328,LAMPUNG,24709,KOTA BANDAR LAMPUNG,243525,240477,484002
24993,KEPULAUAN BANGKA BELITUNG,25245,BANGKA BARAT,22481,64716,87197
24993,KEPULAUAN BANGKA BELITUNG,24994,BANGKA,48689,85481,134170
24993,KEPULAUAN BANGKA BELITUNG,25120,BANGKA SELATAN,24574,56235,80809
24993,KEPULAUAN BANGKA BELITUNG,25181,BANGKA TENGAH,22078,52707,74785
24993,KEPULAUAN BANGKA BELITUNG,25363,KOTA PANGKALPINANG,35803,49703,85506
