KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
LABUHAN HAJI TIMUR,0,0,0
LABUHAN HAJI BARAT,3584,3200,6784
KOTA BAHAGIA,1172,1389,2561
BAKONGAN TIMUR,1027,1230,2257
BAKONGAN,0,0,0
KLUET TIMUR,2552,1689,4241
TRUMON,950,1174,2124
TRUMON TIMUR,0,0,0
SAWANG,4676,2743,7419
SAMADUA,6333,2476,8809
PASIE RAJA,3470,2925,6395
LABUHAN HAJI,0,0,0
KLUET TENGAH,0,0,0
LAWE ALAS,7473,2030,9503
TRUMON TENGAH,0,0,0
TAPAKTUAN,7752,3401,11153
KETAMBE,3705,2347,6052
MEUKEK,5016,3676,8692
TANOH ALAS,1398,881,2279
LAWE BULAN,6165,2590,8755
KLUET UTARA,5194,5108,10302
KLUET SELATAN,2779,3259,6038
BADAR,0,0,0
DELENG POKHKISEN,0,0,0
LAWE SUMUR,0,0,0
BABUL RAHMAH,0,0,0
BANDA ALAM,960,1731,2691
BAMBEL,7774,2528,10302
DARUL HASANAH,0,0,0
SEMADAM,0,0,0
PEUDAWA,1637,1673,3310
DARUL AMAN,2354,3297,5651
LEUSER,0,0,0
BUKIT TUSAM,0,0,0
BABUL MAKMUR,0,0,0
SUNGAI RAYA,1477,1872,3349
BABUSSALAM,0,0,0
PEUREULAK TIMUR,1391,2678,4069
IDI TUNONG,1746,1748,3494
MADAT,3393,3941,7334
BIREM BAYEUN,8471,3382,11853
PEUREULAK BARAT,2282,2048,4330
IDI TIMUR,824,1153,1977
NURUSSALAM,2570,3702,6272
IDI RAYEUK,5577,5106,10683
RANTAU SELAMAT,1835,1942,3777
JULOK,3589,4736,8325
DARUL FALAH,442,1084,1526
SIMPANG JERNIH,1300,544,1844
PEUREULAK,4870,6850,11720
DARUL IHSAN,1155,1195,2350
INDRA MAKMU,4063,1733,5796
SERBAJADI,1893,1267,3160
SIMPANG ULIM,2492,2775,5267
PEUNARON,2315,1801,4116
BIES,1865,2243,4108
JAGONG JEGET,3274,1968,5242
BINTANG,1225,4038,5263
RANTAU PEUREULAK,5339,3238,8577
PANTE BIDARI,2626,4052,6678
SILIH NARA,4403,7420,11823
KUTE PANANG,1463,2745,4208
CELALA,1747,3106,4853
KETOL,3311,3819,7130
KEBAYAKAN,3047,4750,7797
ATU LINTANG,1972,1413,3385
LINGE,2239,3127,5366
PANTE CEUREUMEN,3245,2270,5515
ARONGAN LAMBALEK,2261,3316,5577
PEGASING,3528,6690,10218
RUSIP ANTARA,1525,2194,3719
WOYLA BARAT,2425,1714,4139
LAUT TAWAR,3987,5035,9022
PANTON REU,1930,1100,3030
JOHAN PAHWALAN,13649,10052,23701
BEBESEN,6936,9334,16270
WOYLA TIMUR,1345,1281,2626
KAWAY XVI,5921,4506,10427
BUBON,1732,1800,3532
MEUREUBO,5705,5686,11391
SUNGAI MAS,1218,845,2063
SIMPANG TIGA,1857,1176,3033
DARUL KAMAL,1819,1599,3418
KOTA COT GLIE,3272,3379,6651
SAMATIGA,3904,4284,8188
WOYLA,4000,3208,7208
INDRAPURI,6377,3906,10283
KUTA BARO,6132,5241,11373
LEUPUNG,631,763,1394
PULO ACEH,1127,1301,2428
KUTA MALAKA,2158,1042,3200
KOTA JANTHO,1967,2018,3985
MONTASIK,6373,3074,9447
BAITUSSALAM,3779,3160,6939
LHOONG,2779,2419,5198
SUKAMAKMUR,4189,3170,7359
DARUSSALAM,5537,3722,9259
LHOKNGA,4580,3111,7691
SIMPANG TIGA,4660,5611,10271
KEUMALA,1032,2969,4001
SAKTI,0,0,0
PEUKAN BADA,3778,3662,7440
MESJID RAYA,3001,3257,6258
MUTIARA TIMUR,4938,8418,13356
MANE,976,1397,2373
SEULIMEUM,4693,5158,9851
DARUL IMARAH,11484,7981,19465
BLANG BINTANG,3053,2148,5201
INGIN JAYA,8026,6351,14377
GLUMPANG BARO,1565,2941,4506
PADANG TIJI,4002,5167,9169
TANGSE,5198,6186,11384
MUARA TIGA,4865,1867,6732
BATEE,0,0,0
INDRA JAYA,3618,5734,9352
PIDIE,0,0,0
PEUKAN BARO,0,0,0
KOTA SIGLI,3518,3742,7260
COT GIREK,6352,2450,8802
PAYA BAKONG,2984,2449,5433
DELIMA,0,0,0
NISAM,4535,1928,6463
BAKTIYA,7176,6433,13609
PIRAK TIMUR,1775,1507,3282
GEUMPANG,785,1158,1943
GEULUMPANG TIGA,0,0,0
TITEUE,1110,1353,2463
BANDA BARO,1705,695,2400
KEMBANG TANJONG,3411,5241,8652
TANAH PASIR,1867,1427,3294
LANGKAHAN,4194,3819,8013
DEWANTARA,8254,4449,12703
KUTA MAKMUR,6314,3703,10017
MILA,1760,1958,3718
SYAMTALIRA ARON,4374,3121,7495
MUTIARA,3270,4973,8243
MUARA BATU,5837,2986,8823
SAMUDERA,6294,3771,10065
NIBONG,2514,1675,4189
SIMPANG KRAMAT,2801,1284,4085
TANAH LUAS,6213,4120,10333
SAWANG,7866,3931,11797
BAKTIYA BARAT,2948,3224,6172
MEURAH MULIA,3965,3782,7747
TELUK DALAM,0,0,0
GEUREDONG PASE,1563,533,2096
TEUPAH TENGAH,0,0,0
LAPANG,1181,1280,2461
SIMEULUE TENGAH,0,0,0
SIMEULUE BARAT,0,0,0
SURO MAKMUR,1233,1698,2931
TEUPAH SELATAN,0,0,0
TEUPAH BARAT,0,0,0
ALAPAN,0,0,0
SEUNUDDON,6338,2800,9138
LHOKSUKON,9549,7667,17216
MATANGKULI,3872,3445,7317
SIMEULUE TIMUR,0,0,0
SINGKOHOR,1795,1135,2930
KUALA BARU,569,413,982
SIMEULUE CUT,0,0,0
PULAU BANYAK,838,574,1412
KOTA BAHARU,1627,1031,2658
SYAMTALIRA BAYU,4800,2801,7601
SIMPANG KANAN,3821,2613,6434
SALANG,0,0,0
NISAM ANTARA,1611,937,2548
SINGKIL UTARA,2008,1810,3818
GANDAPURA,6515,2592,9107
KOTA JUANG,10759,5952,16711
JULI,7180,4581,11761
SINGKIL,4907,2480,7387
MAKMUR,3523,2013,5536
JEUMPA,7113,4486,11599
PEUDADA,5264,5031,10295
PEULIMBANG,2180,2342,4522
PEUSANGAN SIBLAH KRUENG,2839,1838,4677
DANAU PARIS,1054,1273,2327
GUNUNG MERIAH,9059,5549,14608
PEUSANGAN,11179,7392,18571
KUALA,4215,2235,6450
PEUSANGAN SELATAN,3085,2060,5145
SAMALANGA,6185,3652,9837
PANDRAH,2018,1335,3353
BLANG PIDIE,4780,3709,8489
PULAU BANYAK BARAT,370,654,1024
JANGKA,5432,4381,9813
JEUMPA,2860,1536,4396
